 Josh Brolin,456,7.24
 Brie Larson,98,1.51
 Pom Klementieff,1,0.423
 Karen Gillan,2,7.7
 Elizabeth Olsen,349,2.2
 Donald Glover,542,3.85
 Adrianne Palicki,22,0.449
 Tom Holland,29,7.99
 Jacob Elordi,31010,0.421
 Ryan Reynolds,219,12.7
 Robert Downey Jr,214,4.81
 Courtney Henggeler,5160,0.103
 Tessa Thompson,240,1.57
 Chris Hemsworth,226,4.14
 Zoe Saldana,6,2.63
 Yvonne Strahovski,14,0.963
 Halston Sage,49,0.462
 Evan Rachel Wood,340,1.43
 Joey King,398,3.71
 Chris Evans,93,5.19
 Scarlett Johansson,35,18.7
 Morena Baccarin,137,1.01
 Chadwick Boseman,2128,2.4
 Michael B Jordan,1665,2.55
 Odette Annable,24,0.372
 Letitia Wright,13322,0.465
 Katja Herbers,1755,0.0903
 Benedict Cumberbatch,255,4.39
 Tom Hardy,17,3.2
 Alden Ehrenreich,1072,0.455
 Sebastian Stan,381,2.5
 Alexandra Daddario,12,11.5
 Tom Hiddleston,260,5.31
 Amanda Seyfried,617,2.54
 Rebecca Ferguson,173,4.03
 Emilia Clarke,46,6.5
 Meghan Markle,167,35.2
 Alexander Ludwig,42,2.21
 Evangeline Lilly,395,6.14
 Pauley Perrette,715,1.6
 William Zabka,3358,0.134
 Margot Robbie,27,7.37
 Talulah Riley,1288,0.188
 Chris Pratt,11,11.6
 Rachel McAdams,121,2.71
 Clayne Crawford,777,0.303
 Parker Posey,1398,0.458
 Naomi Scott,107,11.8
 Bryce Dallas Howard,74,1.44
 Olivia Munn,187,2.15
 Jesse Plemons,1075,0.356
 Zazie Beetz,3940,0.374
 Danai Gurira,2586,1.08
 Jennifer Lawrence,41,10.9
 Rosario Dawson,48,1.51
 Alba August,87178,0.0323
 Carrie Coon,63,0.24
 Ralph Macchio,1503,2.55
 Michael C Hall,1135,1.82
 Riley Keough,809,4.11
 Charlize Theron,72,4.14
 Mary Mouser,2748,0.298
 Cate Blanchett,138,6.57
 Paul Bettany,1119,0.679
 Dave Bautista,5,1.07
 Taron Egerton,90,0.793
 Lily James,205,1.59
 Mina Sundwall,25219,0.0403
 Christina Hendricks,52,4.54
 Shohreh Aghdashloo,100,0.333
 Ana de Armas,8,3.46
 Meg Foster,259,0.196
 Gal Gadot,15,3.67
 Blake Lively,51,8.22
 Maggie Grace,849,0.53
 Katherine Langford,9,0.502
 Michelle Williams,579,3.46
 Mackenzie Davis,73,0.478
 Dwayne Johnson,82,21.8
 Lupita Nyongo,2071,0.511
 Bar Paly,2616,0.203
 Olivia Cooke,840,0.45
 Andy Serkis,1721,0.813
 Keanu Reeves,143,3.04
 Henry Cavill,171,5.62
 Elisabeth Moss,32,1.14
 Leonardo DiCaprio,83,10.7
 Ella Purnell,1369,0.312
 Emily Blunt,180,7.34
 Brianna Hildebrand,814,0.612
 Amber Heard,109,7.47
 Dakota Fanning,300,2.09
 Hannah John-Kamen,1309,0.252
 Molly Parker,1098,0.282
 Melissa McCarthy,470,3.0
 Sylvester Stallone,94,3.49
 Eline Powell,3635,0.113
 Natalie Portman,85,7.51
 Tanner Buchanan,5911,0.259
 Shane Black,2242,0.458
 Zach McGowan,155,0.149
 Elizabeth Debicki,3,0.437
 Cole Sprouse,56,1.87
 Taylor Russell,14112,0.124
 Hayley Atwell,136,0.999
 Luke Hemsworth,2324,0.251
 Tom Cruise,79,14.0
 John Krasinski,530,2.1
 Lee Pace,28,0.904
 Ron Howard,932,3.63
 Jessica Chastain,87,5.5
 Gabrielle Union,2556,2.6
 Adam Sandler,272,4.23
 Thandie Newton,529,1.2
 Sofia Boutella,50,1.51
 Taika Waititi,1602,0.502
 Monique Ganderton,5737,0.262
 Angela Sarafyan,1343,0.288
 Sam Humphrey,187612,0.0808
